#{"t_start": 1777453399.439731, "env_id": "None"}
r,l,t
-42.710014,600,156.274443
-20.540005,600,156.896581
-25.324615,600,157.950331
-40.082214,600,158.135224
-58.05532,125,158.472259
-32.215027,600,158.803758
-35.63463,600,159.413167
-63.92986,600,160.628129
-24.285952,600,160.964845
-80.106895,600,161.299983
-34.735466,600,161.941666
-115.476974,354,162.802945
-37.770462,600,163.150938
-44.503143,600,163.482729
-47.69105,600,164.435637
-36.55609,600,165.307122
-72.0737,600,165.67084
-42.295563,600,166.002728
-124.335144,389,166.072802
-139.97336,245,166.33813
-120.82338,452,167.553799
-131.80315,487,168.109089
-12.256631,600,168.513366
-32.152546,600,168.847956
-55.023876,600,170.076225
-114.59946,373,170.415325
-20.258509,600,170.639434
-68.1664,600,171.082565
-123.175095,287,171.668881
-53.36608,600,172.63205
-17.144693,600,173.17497
-28.75836,600,175.91232
-64.06119,600,176.498052
-11.50884,600,177.474687
-9.014834,600,178.033544
-20.152542,600,178.439246
-76.74725,600,179.024658
-48.120728,600,179.987873
-42.51976,600,180.537637
-123.52093,454,180.922221
-17.916092,600,180.952203
-15.518243,600,182.493996
-36.827423,600,183.061307
-22.670607,600,183.444408
-17.715899,600,183.463769
-29.80647,600,185.013993
-29.743212,600,185.570572
-20.7652,600,185.958508
-49.78063,600,185.978433
-59.725887,600,187.535795
-147.22223,487,188.007526
-27.924135,600,188.073819
-64.665146,600,188.487479
-112.75029,378,189.700719
-130.31259,336,189.892668
-93.82833,600,190.068061
-36.495407,600,190.599478
-114.41095,273,190.886094
-135.5675,427,191.914748
-120.84022,321,191.949339
-167.0326,556,192.282715
-122.73911,355,192.382408
-117.12865,384,193.521847
-132.38391,380,193.540514
-107.52032,374,193.944225
-36.24522,600,194.790636
-105.47647,404,195.231704
-83.05963,423,195.297047
-95.77207,289,196.006741
-48.65264,600,196.464572
-119.76718,326,196.664971
-104.470795,345,197.445192
-51.151066,600,197.747799
-118.983826,402,198.151253
-96.273964,345,198.88669
-116.50977,298,199.004605
-101.02653,225,199.091104
-41.995087,600,199.175859
-113.23092,169,199.783542
-99.270386,252,200.228334
-105.86891,303,200.286182
-91.99722,326,201.166756
-41.422066,600,201.40393
-76.25506,314,201.552076
-88.67797,326,201.638598
-109.7896,385,202.776296
-132.05821,422,203.311511
-96.42404,491,203.458879
-111.30417,142,204.108563
-20.305168,600,204.21426
-108.20423,433,204.651206
-119.02418,414,205.116855
-94.73513,329,205.563121
-116.846146,269,205.738326
-91.54612,251,206.112241
-22.99398,600,206.588018
-106.75092,445,207.591794
-106.29635,391,207.743
-36.456783,600,208.044546
-571.7678,600,209.141632
-98.5915,259,209.175777
-15.455742,600,210.144703
-558.865,600,210.294221
-16.703398,600,211.709735
-29.826122,600,211.749482
-69.314575,382,211.965301
-61.275883,229,212.666331
-26.036606,600,212.71481
-69.914566,199,212.78566
-68.41726,250,213.699851
-55.07098,230,213.748617
-64.54699,111,214.216968
-24.809006,600,214.255556
-24.774925,600,215.234593
-68.411255,176,215.973904
-603.754,600,216.230496
-602.0208,600,216.753838
-423.2564,600,216.788999
-98.237404,253,217.296757
-101.09972,368,220.687458
-33.025677,600,220.887276
-18.005373,600,221.665131
-24.586218,600,222.182987
-14.450875,600,223.231765
-25.738073,600,223.471037
-22.975845,600,224.393423
-19.15159,600,224.897561
-15.782681,600,225.886755
-25.530184,600,226.092238
-60.689632,600,226.891749
-18.686697,600,227.408292
-32.813183,600,228.393202
-31.298138,600,228.593846
-15.48307,600,229.401284
-88.19293,250,229.434834
-26.144398,600,229.916746
-99.17753,402,230.272158
-59.86455,406,231.607616
-18.111668,600,231.909683
-29.254257,600,231.941999
-20.68664,600,232.79477
-23.409721,600,234.136217
-118.50816,390,234.432569
-14.710758,600,234.434118
-29.925776,600,234.472449
-9.057955,600,236.66854
-36.527695,600,236.96783
-15.984466,600,236.969176
-13.350448,600,237.004933
-13.548677,600,239.193599
-14.305273,600,239.490991
-22.994701,600,239.492361
-11.039748,600,239.527292
-22.813856,600,241.738495
-27.131163,600,242.037862
-13.357129,600,242.039244
-21.371962,600,242.076738
-22.797441,600,244.339211
-23.028616,600,244.640713
-26.162304,600,244.642126
-21.81507,600,244.677818
-10.221382,600,246.952468
-17.551394,600,247.250399
-21.764692,600,247.251755
-8.134007,600,247.287377
-24.34682,600,249.521972
-1.171602,600,249.81394
-11.398485,600,249.815342
-4.828847,600,249.850348
-17.06818,600,252.012203
-11.88554,600,252.32494
-13.053603,600,252.326283
-10.014631,600,252.362107
-23.153326,600,254.554698
-16.369112,600,254.848797
-11.232456,600,254.850127
-22.63022,600,254.888207
-7.6921287,600,257.170866
-6.8329687,600,257.49792
-7.9741964,600,257.499423
-5.9713483,600,257.535172
1.781051,600,259.741716
-3.7233174,600,260.056866
-10.520398,600,260.058269
-4.660633,600,260.1079
-5.5478063,600,262.318064
-2.6410775,600,262.611464
-1.6971582,600,262.612886
-13.63204,600,262.661516
-6.533194,600,267.204418
1.1301453,600,267.500772
-0.30888388,600,267.502201
1.0347457,600,267.539681
-0.09183362,600,269.821579
-12.616551,600,270.116245
0.56625783,600,270.117595
2.3164508,600,270.155724
-108.56114,555,272.141271
8.81523,600,272.62815
3.2618954,600,272.629565
8.893303,600,272.66595
6.0896006,600,274.668591
2.6594875,600,275.146257
0.576453,600,275.14767
-3.7462127,600,275.182214
-101.71768,474,277.134081
2.3723617,600,277.134817
-90.3952,488,277.151635
-9.7603,600,277.615037
-114.51376,518,279.331163
-23.1081,600,279.642851
-14.664924,600,279.64359
0.9122347,600,280.12448
4.678017,600,281.888369
-112.427536,576,282.10446
-11.850307,600,282.200297
-107.08043,532,282.41793
-85.98222,495,284.319115
-87.85204,456,284.351231
-6.08016,600,284.433564
8.481942,600,284.673534
-102.01677,395,286.020777
-450.2547,600,286.875446
-3.0357685,600,286.988585
18.755234,600,287.235042
-109.46745,345,287.512525
-106.52243,386,288.647092
-85.14062,378,288.825722
-0.96603334,600,289.417188
-14.441003,600,290.034912
-87.20151,509,290.757918
-129.11423,508,290.940059
-133.92972,508,291.536693
-108.6682,332,292.33281
23.069323,600,292.544569
-100.812515,440,292.597265
-81.34592,578,293.959452
-103.09842,474,294.529208
-30.90287,600,294.855528
